date	bin	turnover	price
20160309	21	1495765.478	197.27059
20160309	22	1408716.966	197.2408434
20160309	23	2425949.827	196.9340253
20160309	24	2764600.926	197.0230662
20160309	25	4007397.81	197.2210454
20160309	26	11671188.97	197.339833
20160310	1	8659667.469	198.0524588
20160310	2	6352224.519	198.780903
20160310	3	6051626.612	198.4582664
20160310	4	3936958.494	198.1701519
20160310	5	8697182.903	197.7555894
20160310	6	5299681.536	197.0330149
20160310	7	7961447.976	197.0646518
20160310	8	6788433.036	196.4391767
20160310	9	6079680.514	196.4540003
20160310	10	3089728.658	196.5480155
20160310	11	3014191.191	196.6569539
20160310	12	3600365.954	196.3302384
20160310	13	5742454.726	195.4840015
20160310	14	4858549.765	195.82564
20160310	15	3119147.561	195.5483696
20160310	16	4020398.497	196.1996119
20160310	17	2855320.268	196.1243997
20160310	18	1998540.445	196.033369
20160310	19	2084248.079	195.9145815
20160310	20	3372671.001	196.4589746
20160310	21	3496453.941	196.9339258
20160310	22	4507139.217	196.9142274
20160310	23	2975915.859	197.1616517
20160310	24	5556166.165	197.6466511
20160310	25	4290095.901	197.1281245
20160310	26	11291511.42	197.4982164
20160311	1	7683944.532	199.5272548
20160311	2	5637415.933	199.4777103
20160311	3	4007822.991	199.230286
20160311	4	2619139.788	199.4282652
20160311	5	5484130.661	199.8290986
20160311	6	3676624.118	199.7152854
20160311	7	3757817.597	199.9924563
20160311	8	3224977.412	200.1507402
20160311	9	3259475.368	200.1507402
20160311	10	2058234.644	200.1606889
20160311	11	1711921.242	200.1943155
20160311	12	1983874.215	200.2794764
20160311	13	2306454.882	200.1804868
20160311	14	1931999.124	200.1012951
20160311	15	2828841.446	199.9330625
20160311	16	1218966.648	200.0023055
20160311	17	1279549.405	199.86372
20160311	18	1963242.385	200.1606889
20160311	19	2030356.645	200.1032849
20160311	20	1831483.532	200.1111443
20160311	21	1831213.145	199.9759414
20160311	22	2542446.392	200.0419014
20160311	23	3986940.877	200.4279111
20160311	24	4216787.87	200.516952
20160311	25	6007747.536	200.620916
20160311	26	14024359.47	200.6852841
20160314	1	4619904.643	200.0715485
20160314	2	3792828.183	199.7846278
20160314	3	3122420.349	200.0023055
20160314	4	2132288.501	199.9825076
20160314	5	2003728.055	200.2596785
20160314	6	2651383.18	200.1111443
20160314	7	2014924.486	200.1804868
20160314	8	1446270.596	200.2002847
20160314	9	1406730.778	200.1606889
20160314	10	1323107.837	200.0122542
20160314	11	1351989.987	200.1953104
20160314	12	2270164.733	200.3190723
20160314	13	1823316.641	200.467507
20160314	14	882691.7372	200.5269007
20160314	15	2124191.97	200.4873049
20160314	16	1571716.064	200.5269007
20160314	17	1331390.321	200.6159417
20160314	18	1170271.87	200.5071028
20160314	19	1725647.651	200.4279111
20160314	20	1965159.217	200.5862945
20160314	21	2986347.367	200.7297548
20160314	22	1744718.474	200.7535323
20160314	23	1404886.316	200.7446779
20160314	24	4077568.75	200.8733147
20160314	25	2996612.019	200.7446779
20160314	26	9006452.29	200.4279111
20160315	1	6035777.314	199.3986181
20160315	2	3081563.776	199.1510943
20160315	3	4041122.802	199.3391248
20160315	4	2931182.4	199.6064465
20160315	5	2949874.28	199.6064465
20160315	6	2482134.022	199.4183165
20160315	7	2160095.134	199.4579124
20160315	8	1915996.036	199.6658403
20160315	9	1710563.276	199.5024826
20160315	10	1900203.027	199.383695
20160315	11	2358952.165	199.3589227
20160315	12	1314713.78	199.5766999
20160315	13	1041462.145	199.4678611
20160315	14	1011757.777	199.3923504
20160315	15	1091839.554	199.4975082
20160315	16	1303942.529	199.6756895
20160315	17	2426530.807	199.7746791
20160315	18	1858737.33	199.8340729
20160315	19	1528375.751	199.9429117
20160315	20	1956837.531	199.8439221
20160315	21	1862815.247	199.7746791
20160315	22	1635251.969	199.7054361
20160315	23	2262250.135	199.9627097
20160315	24	3100543.13	199.9874819
20160315	25	2846493.994	199.7944771
20160315	26	12499906.85	200.1210931
20160316	1	4814098.756	199.9825076
20160316	2	3325158.286	200.1309423
20160316	3	2849734.617	200.2695277
20160316	4	1833821.525	200.140891
20160316	5	2444758.304	200.3932896
20160316	6	1978576.038	200.2596785
20160316	7	1812694.153	200.2695277
20160316	8	1273530.531	200.2794764
20160316	9	1488345.417	200.2987769
20160316	10	1503635.849	200.1706376
20160316	11	1685295.667	200.2695277
20160316	12	989214.1402	200.190336
20160316	13	1225923.332	200.0023055
20160316	14	1912071.908	199.8340729
20160316	15	1655166.118	199.6262445
20160316	16	2051399.584	199.6162957
20160316	17	1912561.419	199.7647304
20160316	18	2177532.579	200.1260674
20160316	19	13953895.03	200.0320521
20160316	20	7899373.568	201.100941
20160316	21	7717876.585	201.4869508
20160316	22	6464678.347	200.7644758
20160316	23	6330039.723	201.3583141
20160316	24	4950340.603	201.3483653
20160316	25	5783777.691	201.4573037
20160316	26	14569529.91	201.2593244
20160317	1	4953814.422	200.794123
20160317	2	2646878.071	200.9406674
20160317	3	3230785.203	201.0811431
20160317	4	2839854.939	201.1602353
20160317	5	3603088.922	201.5265467
20160317	6	3693023.237	201.7641217
20160317	7	3352268.346	201.8433134
20160317	8	3445933.8	201.9669758
20160317	9	2848625.93	201.7343751
20160317	10	2255716.622	201.9818989
20160317	11	1767758.658	201.9125564
20160317	12	3106282.571	202.3183641
20160317	13	5016826.641	202.4470009
20160317	14	2158467.787	202.407405
20160317	15	2892067.763	202.2006709
20160317	16	2310565.969	202.2985662
20160317	17	3224951.278	202.6351309
20160317	18	2782410.279	202.7885399
20160317	19	4289270.668	203.0013427
20160317	20	3962837.239	202.8726065
20160317	21	2687642.169	202.7637677
20160317	22	2067604.708	202.615333
20160317	23	2154815.05	202.6747267
20160317	24	3088357.625	202.9073275
20160317	25	4589049.372	202.8924044
20160317	26	17973862.31	202.5361413
20160318	1	9200467.484	203.0033325
20160318	2	6897521.602	203.3017936
20160318	3	7031119.89	203.4211781
20160318	4	3277119.875	203.1724605
20160318	5	3969326.525	203.3316398
20160318	6	3147956.335	203.3714346
20160318	7	3313580.9	203.5654343
20160318	8	2627357.943	203.4410755
20160318	9	2796148.75	203.3366141
20160318	10	2372940.92	203.4311268
20160318	11	2080679.776	203.4609729
20160318	12	1737130.552	203.5256395
20160318	13	2017243.381	203.3017936
20160318	14	1881128.183	203.4112294
20160318	15	2084157.615	203.0431273
20160318	16	2214882.163	203.0729734
20160318	17	2576369.399	202.953589
20160318	18	1997901.166	203.0754606
20160318	19	1953276.264	203.0829221
20160318	20	2526849.388	203.1028195
20160318	21	2063415.218	203.1724605
20160318	22	1650882.144	203.0481017
20160318	23	4974905.609	203.5853317
20160318	24	5380221.664	203.5306139
20160318	25	4449308.577	203.4858447
20160318	26	14107399.42	203.3316398
20160321	1	3888796.449	203.5952804
20160321	2	2497334.995	203.4808703
20160321	3	3119225.963	202.9525941
20160321	4	2806013.35	203.0132812
20160321	5	3019151.635	202.8640506
20160321	6	2309378.88	202.8739993
20160321	7	1630905.675	203.0431273
20160321	8	2064182.152	203.4186909
20160321	9	1509971.347	203.4510242
20160321	10	1217604.662	203.3117423
20160321	11	1240305.103	203.3515372
20160321	12	1363109.021	203.2619988
20160321	13	1646088.555	203.1525631
20160321	14	1372175.528	203.3266654
20160321	15	971824.9429	203.3415885
20160321	16	1941700.889	203.7196393
20160321	17	1218978.71	203.6350753
20160321	18	1426167.477	203.6499983
20160321	19	1568722.71	203.6226394
20160321	20	1366062.169	203.7594341
